id,timestamp_utc,symbol,session,killzone,setup_grade,direction,confidence_pct,entry_price,stop_loss,take_profit_1,take_profit_2,risk_distance_usd,account_balance,risk_pct,lot_size,outcome,exit_price,exit_time_utc,realized_r,realized_pnl_usd,max_favorable_usd,max_adverse_usd,confluence_factors,technical_thesis,notes
TRD-E5EB1A84,2026-09-07 05:00:29,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,,
TRD-F9964691,2026-09-01 10:55:53,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,,
TRD-76D8385F,2026-09-01 10:51:55,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,,
TRD-438C3763,2026-09-01 10:14:46,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,,
TRD-6243F170,2026-09-01 08:22:00,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,,
TRD-FC518CEA,2026-09-01 07:53:26,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,,
TRD-EA6B3198,2026-09-01 07:02:02,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,,
TRD-385620B6,2026-09-01 06:58:29,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,,
TRD-987A117F,2026-09-01 06:57:56,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,,
TRD-1C6AC0E3,2026-09-01 05:51:56,XAU_USD,LONDON,LONDON_OPEN,GRADE_A,BULLISH_LONG,95,2932.4,2928.0,2941.2,2945.0,4.4,10000.0,1.0,0.5,TP1_HIT,,,2.0,0.0,0.0,0.0,M5 CHoCH + FVG 65% Retest + VWAP Alignment,Clean expansion out of London liquidity sweep.,
